title,price_monthly,bedrooms,sqft,unit_type_clean,location_clean,market_area,description,extreme_low_price_flag,scraped_at,url
"MAIN - 1046 FREEMAN TRAIL Milton (BE Beaty), Ontario",3499,5.0,,,Oakville / Halton Region•,Halton,"If You Want To Live In One Of Milton's Premier Neighborhoods, This Is Your Chance! Gorgeous 5 Br Corner Detach Home On 74 Feet Lot With 3 Washroom On 2nd Floor, Double Door Entrance, Master Bedroom ...",0,2026-02-11 22:14:01.276609,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/main-1046-freeman-trail-milton-be-beaty-ontario/1730224480
BRAND NEW LEGAL 2 BED | 9 FT CEILINGS | OAKVILLE,2075,2.0,1000,Basement,"Glenorchy, Oakville / Halton Region•",Halton,"BRAND NEW LEGAL 2 BED | 9 FT CEILINGS | PRIVATE LAUNDRY | OAKVILLE $2,099/month | Available March 1, 2026 Be the first to live in this brand new, legal 2-bedroom basement apartment located in one of ...",0,2026-02-11 22:14:04.126667,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/brand-new-legal-2-bed-9-ft-ceilings-oakville/1732869485
"16 - 1550 REEVES GATE Oakville (GA Glen Abbey), Ontario",3800,3.0,,Townhouse,Oakville (GA Glen Abbey)•,Halton,"Bright and spacious end-unit townhouse featuring freshly painted interiors, a functional layout, and abundant natural light. The open-concept living and dining area is highlighted by a cozy gas ...",0,2026-02-11 22:14:03.706777,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/16-1550-reeves-gate-oakville-ga-glen-abbey-ontario/1732876995
Two bedroom apartment available for rent,2195,2.0,,Apartment,"Old Oakville, Oakville / Halton Region•",Halton,"APARTMENT FOR RENT IN OAKVILE! TWO BEDROOM APARTMENTS AT $2,195/month* Pine Avenue is ideally located in the heart of Oakville, at the main intersection of Cornwall and Trafalgar with an easy access ...",0,2026-02-11 22:13:50.214527,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/two-bedroom-apartment-available-for-rent/1727179232
1421 Lakeshore Rd - Upper Unit Apartment for Rent,2400,2.0,,Apartment,Burlington•,Halton,"Utilities Included: Heat Water Ideally located in Burlington, this bright upper-level 2-bedroom, 1-bath unit sits directly across the street from Spencer Smith Park with incredible lake views. Enjoy ...",0,2026-02-11 22:13:56.081966,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1421-lakeshore-rd-upper-unit-apartment-for-rent/1732690606
"BSMT - 4640 DOUG WRIGHT DRIVE Burlington (Alton), Ontario",1800,1.0,,Basement,"Alton, Burlington (Alton)•",Halton,"Enjoy this spacious, fully renovated 1-bedroom basement suite with a private separate entrance and 1 parking spot. Located in an upscale neighbourhood, this bright and inviting space features modern ...",0,2026-02-11 22:14:00.117952,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/bsmt-4640-doug-wright-drive-burlington-alton-ontario/1732920251
2095 Prospect St - 2095 Prospect St Apartment for Rent,2250,2.0,,Apartment,Burlington•,Halton,Suite Amenities Fridge Stove Balconies Carpeted floors Hardwood floors Vinyl Plank Floors Utilities Included: Heat Water Welcome to 2095 Prospect Street — a large and bright 2-bedroom apartment ...,0,2026-02-11 22:13:56.074204,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2095-prospect-st-2095-prospect-st-apartment-for-rent/1732685952
~1000sf Bright Reno’d Aptmt in The Orchard Burlington for Rent,1790,1.0,1000,Basement,"Orchard, Oakville / Halton Region•",Halton,"We (the owners) are a young, Christian family occupying the unit above. We are looking for a single person to occupy this unit for rent, smoke-free, pet-free. We are considerate, collaborative, ...",0,2026-02-11 22:14:02.530732,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1000sf-bright-reno-d-aptmt-in-the-orchard-burlington-for-rent/1732881456
"2441 GREENWICH Drive Unit# 106 Oakville, Ontario",2595,2.0,,Townhouse,Oakville•,Halton,"Prestigious Oakville location. This cozy 2-bedroom, 2-bathroom townhouse offers a beautiful patio—perfect for summer enjoyment. The functional layout is ideal for working from home and well-suited ...",0,2026-02-11 22:14:00.833293,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2441-greenwich-drive-unit-106-oakville-ontario/1731522295
"COTTAGE - 243 SHOREACRES ROAD Burlington (Shoreacres), Ontario",3400,2.0,,House,"Shoreacres, Oakville / Halton Region•",Halton,"Incredible opportunity to rent a cottage in the city!! Situated on prestigious Shoreacres Road, this is truly 1-of-a kind! Detached 2-bedroom home overlooking a private, treed ravine. This home is ...",0,2026-02-11 22:13:48.974746,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/cottage-243-shoreacres-road-burlington-shoreacres-ontario/1730369469
"1308 ANTHONIA TRAIL Oakville (JM Joshua Meadows), Ontario",4499,4.0,,Townhouse,"Joshua Meadows, Oakville (JM Joshua Meadows)•",Halton,Welcome to the Executive Townhome in the trendy new neighborhood of Upscale Oakville. Beautiful pond in the backyard. Gorgeous views from the living room and Primary Bedroom. 4-bedrooms with a ...,0,2026-02-11 22:13:52.564403,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1308-anthonia-trail-oakville-jm-joshua-meadows-ontario/1733011015
"106 - 2441 GREENWICH DRIVE Oakville (WM Westmount), Ontario",2595,2.0,,Townhouse,Oakville (WM Westmount)•,Halton,"Prestigious Oakville location. This cozy 2-bedroom, 2-bathroom townhouse offers a beautiful patio-perfect for summer enjoyment. The functional layout is ideal for working from home and well-suited ...",0,2026-02-11 22:14:01.434662,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/106-2441-greenwich-drive-oakville-wm-westmount-ontario/1731520509
Gorgeous Condo Style Unit,2050,2.0,800,Apartment,"Central Oakville, Oakville•",Halton,"Gorgeous Condo Style Unit This is a newly renovated with very high end materials. It has better materials and finishes than a new condo, butis much larger and at a lower price. New kitchne cabinets ...",0,2026-02-11 22:13:51.243069,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/gorgeous-condo-style-unit/1733009654
384 St Paul St - 2 Bedroom Apartment for Rent,2250,2.0,,Apartment,Burlington•,Halton,Suite Amenities Fridge Stove Balconies Ceramic floors Hardwood floors Vinyl Plank Floors Utilities Included: Heat Water This beautiful newly renovated 2 bedroom unit is nestled in a great ...,0,2026-02-11 22:13:56.070361,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/384-st-paul-st-2-bedroom-apartment-for-rent/1732685953
Renovated 2 Bed Suite In Dt Burlington,2195,2.0,800,Apartment,Oakville / Halton Region•,Halton,"Renovated 2 Bed Suite In Dt Burlington 431 Martha St, Burlington Second Floor Renovated Suite * 2 Bedrooms * 1 Bathroom * 1 Year Lease Availability: NOW Welcome to 431 Martha St, Burlington Welcome ...",0,2026-02-11 22:13:58.648032,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/renovated-2-bed-suite-in-dt-burlington/1731644759
Collingwood Peak Apartment for Rent:,3125,3.5,1318,Apartment,Oakville / Halton Region•,Halton,"Building Description PRE-LEASING NOW FOR SPRING 2026 Silvercreek Apartments, located in Collingwood, ON, boasts 187 contemporary units within three elegant 4-storey buildings. Experience upscale ...",0,2026-02-11 22:13:55.567427,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/collingwood-peak-apartment-for-rent:/1722722280
"Apartment for Rent at 455 Maple, Downtown",2499,2.0,975,Apartment,Oakville / Halton Region•,Halton,"E. & O.E. conditions apply. Promotions subject to change or be cancelled at any time without notice or penalty. Views, images, square footage, and virtual tours may be a representation of similar ...",0,2026-02-11 22:14:04.322378,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/apartment-for-rent-at-455-maple-downtown/1731476789
"5487 EATON Avenue Burlington, Ontario",2990,4.0,,,"Appleby, Burlington•",Halton,"This spacious three-bedroom bungalow is located in a quiet, family-friendly neighbourhood near the Oakville border, making it ideal for families, professionals, or roommates looking for space and ...",0,2026-02-11 22:14:02.640996,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/5487-eaton-avenue-burlington-ontario/1732876986
"3 - 2350 QUEENSWAY DRIVE Burlington (Freeman), Ontario",2050,2.0,,Apartment,Oakville / Halton Region•,Halton,"Discover modern living at 2350 Queensway Drive, Burlington! This newly renovated 2-bedroom, 1-bathroom apartment offers a fresh and stylish interior complete with brand-new appliances for your ...",0,2026-02-11 22:13:53.790757,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/3-2350-queensway-drive-burlington-freeman-ontario/1731620316
"2030 CLEAVER Avenue Unit# 206 Burlington, Ontario",2300,2.0,,Condo,Burlington•,Halton,"Welcome to this beautifully newly renovated 1 bedroom + DEN condo unit that blends modern finishes with everyday functionality. The bright open-concept layout features all-new chevron flooring, fresh ...",0,2026-02-11 22:13:53.771558,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2030-cleaver-avenue-unit-206-burlington-ontario/1730320120
"1506 - 2087 FAIRVIEW STREET Burlington (Freeman), Ontario",2400,2.0,,,"Freeman, Oakville / Halton Region•",Halton,"Welcome to 2087 Fairview Street Unit 1506 at Paradigm in Burlington. This bright 1 bedroom plus den, 1.5 bath suite features 9 foot ceilings, floor to ceiling windows, open concept living, sleek ...",0,2026-02-11 22:13:57.611829,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1506-2087-fairview-street-burlington-freeman-ontario/1731573746
Bachelor,1600,0.0,450,Apartment,"Old Oakville, Oakville•",Halton,"Downtown Oakville, excellent location, steps to the lake, park, trendy cafes, restaurants, and boutiques. Quiet building with amazing lake views, helpful on-site building manager, keyless entry ...",0,2026-02-11 22:13:55.656966,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/bachelor/1732987218
"A1205 - 125 BRONTE ROAD Oakville (BR Bronte), Ontario",3495,2.0,,,"Bronte, Oakville / Halton Region•",Halton,**BONUS 1 MONTH FREE** PET FRIENDLY Building. The Village at Bronte is a unique Luxury Rental community nestled in Oakville's most Vibrant and sought after neighbourhood - Bronte Harbour! The ...,0,2026-02-11 22:13:57.975888,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/a1205-125-bronte-road-oakville-br-bronte-ontario/1728640797
"B304 - 5240 DUNDAS STREET Burlington (Orchard), Ontario",2100,2.0,,,"Orchard, Burlington (Orchard)•",Halton,"Modern living at the Link Condos, in Burlington's awesome Orchard community. This one + one bedroom unit is carpet-free and freshly painted. The kitchen has stainless steel appliances and beautiful ...",0,2026-02-11 22:14:02.854991,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/b304-5240-dundas-street-burlington-orchard-ontario/1732877295
1-bedroom 1- bathroom Clarkson M,2500,1.5,1000,Basement,"Clarkson - Lorne Park, Oakville / Halton Region•",Halton,This is an ideal rental for a single person or couple looking for an alternative to condo living. Newly renovated 1 Extra Large primary bedroom plus + 1 DEN basement apartment located on a quiet ...,0,2026-02-11 22:13:50.938517,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1-bedroom-1-bathroom-clarkson-m/1733022589
Basement for rent,1450,1.0,900,Basement,"Alloa, Oakville / Halton Region•",Halton,"This spacious basement suite is available for rent and includes a kitchen, bedrooms, and bathroom, perfect for comfortable living. The unit has been well maintained.",0,2026-02-11 22:13:54.140079,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/basement-for-rent/1732997599
"502 - 133 BRONTE ROAD Oakville (BR Bronte), Ontario",3025,1.0,,,"Bronte, Oakville / Halton Region•",Halton,"Spacious 1 Bedroom + Den in an Unbeatable Location - Close to Everything! Welcome to The Village - a distinctive luxury rental community offering 5-star, hotel-style amenities in the heart of Bronte ...",0,2026-02-11 22:13:57.447527,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/502-133-bronte-road-oakville-br-bronte-ontario/1728642588
Longmoor Terrace Apartments - 1 Bedroom available at 4067 Longmo,2095,1.0,698,Apartment,Oakville / Halton Region•,Halton,Visit our Website: https://www.capreit.ca/apartments-for-rent/burlington-on/longmoor-terrace-apartments/ These well-kept apartments for rent in Burlington in the heart of a mature residential ...,0,2026-02-11 22:14:04.353726,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/longmoor-terrace-apartments-1-bedroom-available-at-4067-longmo/1731476213
"428 - 470 DUNDAS STREET E Hamilton (Waterdown), Ontario",2000,2.0,,,Oakville / Halton Region•,Halton,"Welcome Home to TREND 3 by the award winning Development Group, this 1 bedroom plus den unit comes with 1 underground parking spot, 1 storage locker and a state of the art Geo thermal Heating and ...",0,2026-02-11 22:13:53.4176,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/428-470-dundas-street-e-hamilton-waterdown-ontario/1728698088
Room for rent,700,2.0,90,Townhouse,"Timberlea, Milton•",Halton,2 bedrooms in a townhouse in Brampton Shared washroom and kitchen No smoking Call 647 286 3791 for more information,0,2026-02-11 22:13:56.334944,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/room-for-rent/1732969900
"3-Bedroom, 1-Bath Home, Milton",2800,3.0,1500,House,"Bronte Meadows, Milton•",Halton,"Welcome to your dream home in the charming Old Town Milton! This stunning 3-bedroom, 1-bath home is nestled on a large lot with mature trees. It has been beautifully renovated with modern finishes ...",0,2026-02-11 22:13:49.897524,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/3-bedroom-1-bath-home-milton/1732902461
Basement Bachelor Unit for Rent,1300,0.0,450,Basement,"Appleby, Burlington•",Halton,Basement bachelor unit with kitchenette for rent in Burlington southeast (Burloak & New Street area). Large basement is large enough for a living room with bed in studio format. Parking available. ...,0,2026-02-11 22:13:52.759219,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/basement-bachelor-unit-for-rent/1733006981
"9 (UPPER) MYRTLE LYNN PLACE Wasaga Beach, Ontario",2000,3.0,,,Oakville / Halton Region•,Halton,"Family friendly 3 bedroom 1 full bathroom upper level of raised bungalow.One year lease $2,000.00 per month plus $175 per month for utilities (adjusted every 6 months to actual. Landlord pays ...",0,2026-02-11 22:14:01.535493,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/9-upper-myrtle-lynn-place-wasaga-beach-ontario/1730223820
"UPPER LEVEL - 13409 HWY 7 Halton Hills (Rural Halton Hills), Ont",3000,3.0,,,Halton Hills (Rural Halton Hills)•,Halton,"Bright and well-maintained bungalow offering the main floor only for lease. This spacious layout features both a family room and a separate living room, ideal for comfortable everyday living. Updated ...",0,2026-02-11 22:13:56.60464,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/upper-level-13409-hwy-7-halton-hills-rural-halton-hills-ont/1732964303
"BSMT - 2362 PROUDFOOT TRAIL Oakville (WT West Oak Trails), Ontar",1950,2.0,,Basement,Oakville / Halton Region•,Halton,"W-E-L-C-O-M-E to this furnished 2 bdrm suite in the heart of West Oak Trails, one of Oakville's most desired and strategically located neighbourhood. Surrounded by top-rated schools, parks, and just ...",0,2026-02-11 22:13:53.715232,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/bsmt-2362-proudfoot-trail-oakville-wt-west-oak-trails-ontar/1730320281
"242 SPRINGFIELD CRESCENT Clearview (Stayner), Ontario",3000,4.0,,,Oakville / Halton Region•,Halton,"Brand new house in Stayer. This stunning 9 -ft Ceilings 2-storey home is ready for your personal touch. Offering approximately 2600 SQFT of open-concept living, The attached 2-car garage provides ...",0,2026-02-11 22:13:53.329517,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/242-springfield-crescent-clearview-stayner-ontario/1730321450
oakville town house for rent,3299,3.5,1817,Townhouse,"Glenorchy, Oakville / Halton Region•",Halton,"Beautiful updated 3-storey townhome in a vibrant Oakville community for rent by owner.Offering 3+1 spacious bedrooms and 3 bathrooms, this modern home step inside to a bright, open-concept layout ...",0,2026-02-11 22:13:56.238131,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/oakville-town-house-for-rent/1732971997
"1095 LINBROOK ROAD Oakville (MO Morrison), Ontario",4500,4.0,,,"Morrison, Oakville / Halton Region•",Halton,WELCOME to this CHARMING Bungalow nestled on the family-friendly Linbrook Road in the prestigious area of Southeast Oakville. This home offers a cottage-like ambiance and is set on a private lot ...,0,2026-02-11 22:13:58.111269,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1095-linbrook-road-oakville-mo-morrison-ontario/1731572254
"8 - 362 PLAINS ROAD E Burlington (LaSalle), Ontario",2999,3.0,,,Oakville / Halton Region•,Halton,"Available March 01, 2026. Tenant pays shared utilities. Credit report with score, proof of income and references required. (id:24493) MLS® #W12677560 The trademarks MLS®, Multiple Listing Service® ...",0,2026-02-11 22:14:01.189252,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/8-362-plains-road-e-burlington-lasalle-ontario/1731521193
"1 ELGIN Street N Unit# 1A Acton, Ontario",1900,2.0,,Apartment,"Halton Hills, Acton•",Halton,"Welcome to 1 Elgin St N, Unit 1A, Acton. A clean, modern 2-bedroom apartment located right in the heart of downtown Acton. This thoughtfully designed unit offers laminate flooring throughout, a ...",0,2026-02-11 22:14:03.538183,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1-elgin-street-n-unit-1a-acton-ontario/1732877722
"257 - 19 CONEFLOWER CRESCENT Toronto (Westminster-Branson), Onta",2500,3.0,,Townhouse,Toronto (Westminster-Branson)•,Toronto,"Welcome to this bright and modern 2-bedroom condo townhouse offering stylish living in one of North York's most convenient communities. Enjoy morning coffee on your private patio, dinners on the ...",0,2026-02-11 22:14:01.485917,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/257-19-coneflower-crescent-toronto-westminster-branson-onta/1730224023
"1426 - 9 MABELLE AVENUE Toronto (Islington-City Centre West), On",2100,1.0,,Condo,City of Toronto•,Toronto,"Welcome to Bloorvista at Islington Terrace by Tridel - a bright and modern 1-bedroom suite offering a well-designed open-concept layout with clean, contemporary finishes throughout. The suite ...",0,2026-02-11 22:13:57.433963,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1426-9-mabelle-avenue-toronto-islington-city-centre-west-on/1730273973
3 bedrooms town house at Don mills & Sheppard! close to don mill,2900,3.0,1300,Townhouse,"Don Valley Village, Toronto•",Toronto,"3 bedrooms town house at Don mills & Sheppard! close to don mills subway station, Fairview mall, Seneca college, supermarket",0,2026-02-11 22:14:04.167585,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedrooms-town-house-at-don-mills-sheppard-close-to-don-mill/1732868692
private studio unit/ finished basement suite unit,1350,1.0,900,Basement,"Bendale South, City of Toronto•",Toronto,"Private Studio unit/ Furnished Basement suite for rental I am looking for a COUPLE or can be TWO GIRLS that can share the room. Rent from: immediate or march 1st, 2026‼️ Monthly rent: $1350 ...",0,2026-02-11 22:13:55.035004,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-studio-unit-finished-basement-suite-unit/1732992945
Bargain all inclusive price Downtown condo furnished King subway,1725,0.0,400,Condo,"Yonge-Bay Corridor, Toronto•",Toronto,"View Wed to Fri 11 to 5 pm , text to confirm view time please : Stephen 4169175467. We can send you a video tour via phon also Move in anytime , best subway location furnished studio with bargain ...",0,2026-02-11 22:13:53.062476,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bargain-all-inclusive-price-downtown-condo-furnished-king-subway/1733001350
"1301 - 25 BASEBALL PLACE Toronto (South Riverdale), Ontario",3998,2.0,,,City of Toronto•,Toronto,"Fully furnished and completely turn-key, this stylish suite at 25 Baseball Place is available for short-term lease and ready for immediate enjoyment. Thoughtfully equipped with modern furnishings, ...",0,2026-02-11 22:13:53.527387,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1301-25-baseball-place-toronto-south-riverdale-ontario/1731620813
"1 BED - 10 Elvaston Drive, Toronto",1950,1.0,613,Apartment,"Victoria Village, City of Toronto•",Toronto,"1 BED - 10 Elvaston Drive, Toronto This quiet building is located at 10 Elvaston Drive, in a quiet neighbourhood just east of Don Valley Pkwy and south of highway 401. Lots of grocery stores, ...",0,2026-02-11 22:13:56.413626,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-10-elvaston-drive-toronto/1731027969
1 Bedroom Apartment for Rent in Toronto (Dawes and Danforth),1650,1.0,483,Apartment,"East End-Danforth, Toronto•",Toronto,"1 bedroom apartment on 2nd floor with private entrance. 8 minute walk from Main Street Subway station, 11 minutes to Danforth GO Train station, short walk to several grocery stores, parks and other ...",0,2026-02-11 22:14:01.924766,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-in-toronto-dawes-and-danforth/1732902039
"3705 - 181 DUNDAS STREET E Toronto (Church-Yonge Corridor), Onta",1300,2.0,,,Toronto (Church-Yonge Corridor)•,Toronto,"Primary Bedroom for rent With Gorgeous view of the city; Upscale building with Great Amenities,Full Gym ,Study and Work Area, High level, High Ceiling. Private bedroom with Shared Living Room, ...",0,2026-02-11 22:14:03.605103,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3705-181-dundas-street-e-toronto-church-yonge-corridor-onta/1732876713
Spacious 3 Bedroom Apt  3B Plan - North York,2770,3.0,1200,Apartment,City of Toronto•,Toronto,"Style 3B - Available- ($2770) Newly decorated, spacious 3 bedroom apartment features 3 stainless steel appliances (fridge,stove and dishwasher), gleaming dark hardwood floors, a walk-in closet, l l/2 ...",0,2026-02-11 22:13:58.362231,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-3-bedroom-apt-3b-plan-north-york/1505827528
"1103 - 20 MINOWAN MIIKAN LANE Toronto (Little Portugal), Ontario",3000,2.0,,Condo,Toronto (Little Portugal)•,Toronto,"Furnished Loft condo in the Trendy Queen Street West. This 1 + 1 Bedroom Tastefully Decorated Condo comes with an underground Parking and includes utility! With an attractive Open Concept Layout, ...",0,2026-02-11 22:14:03.917278,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1103-20-minowan-miikan-lane-toronto-little-portugal-ontario/1732875886
LARGE 1 bedroom apartment Royal York/DixonRd,1600,1.0,800,Apartment,"Kingsview Village-The Westway, City of Toronto•",Toronto,"Beautiful 800sq ft large 1 bedroom apartment with: -utilities included, dishwasher, 6 windows, porcelain tiles throughout, laundry and parking on site -close to airport, Walmart, Costco, 401, 427, ...",0,2026-02-11 22:13:51.133398,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-1-bedroom-apartment-royal-york-dixonrd/1733019589
2 Bed+2 Bath Downtown TO– PERFECT FOR Health care professionals,3450,2.0,1005,Condo,"Downtown Yonge East, Toronto•",Toronto,"Perfect for Medical Residents, Medical Students, Allied health Professional. Walking distance to all Downtown U of T hospitals, shuttle to Sunnybrook, shuttle to Toronto Western, U of T main campus ...",0,2026-02-11 22:14:01.891801,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-downtown-to-perfect-for-health-care-professionals/1732903505
"2716 - 2031 KENNEDY ROAD Toronto (Agincourt South-Malvern West),",2350,2.0,,Condo,City of Toronto•,Toronto,"Welcome to ''K Square'' 1+1 Condo In The Heart Of Scarborough! Main Floor 9 Ft Ceiling. Den Could Be A Second Bedroom Or A Study/Office. Open Designed Kitchen With Stone Countertop, Undermount Sink & ...",0,2026-02-11 22:13:58.178387,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2716-2031-kennedy-road-toronto-agincourt-south-malvern-west/1730272031
